seller_id,seller_city,seller_state,total_items_sold,total_orders,total_revenue,total_freight,late_orders,avg_review_score,freight_share_ratio,late_delivery_ratio,on_time_delivery_ratio,seller_activity_tier,review_rating_tier,seller_trust_score,seller_risk_level
d2e753bb80b7d4faa77483ed00edc8ca,porto seguro,ba,15,14,1320.7,454.24,1,3.7,0.2559,0.0714,0.9286,High Volume,Good,83.43,Low Risk
f9ec7093df3a7b346b7bcf7864069ca3,sao paulo,sp,9,9,519.2,118.93,0,4.78,0.1864,0.0,1.0,Mid Volume,Excellent,97.8,Low Risk
4e6015589b781adaa5ce7f1892d06bb1,guaruja,sp,3,3,684.0,56.5,0,3.67,0.0763,0.0,1.0,Low Volume,Good,86.7,Low Risk
4cf490a58259286ada5ba8525ba9e84a,tabatinga,sp,8,8,1254.2,155.19,0,3.12,0.1101,0.0,1.0,Mid Volume,Fair,81.2,Low Risk
f7496d659ca9fdaf323c0aae84176632,sao paulo,sp,27,26,5087.57,844.9399999999999,1,4.59,0.1424,0.0385,0.9615,High Volume,Excellent,93.98,Low Risk
2ff97219cb8622eaf3cd89b7d9c09824,salto,sp,96,89,4476.9,1389.13,3,4.54,0.2368,0.0337,0.9663,High Volume,Excellent,93.72,Low Risk
8bd0e3abda539b9479c4b44a691be1ec,tres de maio,rs,13,7,596.55,248.79000000000002,4,1.69,0.2943,0.5714,0.4286,Mid Volume,Poor,38.33,High Risk
2a1348e9addc1af5aaa619b1a3679d6b,belo horizonte,mg,55,52,2843.0,788.4,15,3.0,0.2171,0.2885,0.7115,High Volume,Fair,65.58,Moderate Risk
2078fe5066350e7d220c0ad3a3bbc6c1,arapongas,pr,1,1,29.9,38.14,0,2.0,0.5606,0.0,1.0,Low Volume,Poor,70.0,Moderate Risk
116ccb1a1604bc88e4d234a8c23f33de,sao bernardo do campo,sp,73,61,2004.89,943.4399999999999,2,4.6,0.32,0.0328,0.9672,High Volume,Excellent,94.36,Low Risk
430315b7bb4b6e4b3c978f9dfa9b0558,sao paulo,sp,21,20,3118.4,586.23,1,4.0,0.1582,0.05,0.95,High Volume,Good,87.5,Low Risk
406822777a0b9eb5c50e442dd4cd3ec5,tatui,sp,47,45,3648.08,948.26,5,4.33,0.2063,0.1111,0.8889,High Volume,Excellent,87.74,Low Risk
4dbd95a08b31ede5c82d3f861cb1ce1a,curitiba,pr,6,6,1304.67,189.36,0,3.5,0.1267,0.0,1.0,Mid Volume,Fair,85.0,Low Risk
e9e446d01bd10a97a8ffcfc4a3a20cb2,sao paulo,sp,4,4,60.05,29.56,0,3.5,0.3299,0.0,1.0,Mid Volume,Fair,85.0,Low Risk
d52cbce9845184537284a23c3bc3da0e,garopaba,sc,4,2,75.0,63.78,0,5.0,0.4596,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
d9a84e1403de8da0c3aa531d6d108ba6,sao paulo,sp,59,54,1425.2,732.14,3,4.56,0.3394,0.0556,0.9444,High Volume,Excellent,92.82,Low Risk
9c690ceacd5c66731bf443ea810195cb,camanducaia,mg,12,10,871.8,249.22,0,4.42,0.2223,0.0,1.0,Mid Volume,Excellent,94.2,Low Risk
1f9ab4708f3056ede07124aad39a2554,tupa,sp,79,78,13602.73,2440.78,4,4.09,0.1521,0.0513,0.9487,High Volume,Good,88.34,Low Risk
1961c3e1272bfeceb05d0b78b5bbfdaf,guarulhos,sp,4,3,896.0,49.43,0,3.75,0.0523,0.0,1.0,Low Volume,Good,87.5,Low Risk
d3e7d37c0df9aef383f3f2a15b0dddfb,sao jose dos pinhais,pr,1,1,161.0,40.34,0,5.0,0.2004,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
ec2e006556300a79a5a91e4876ab3a56,sao paulo,sp,8,4,125.2,66.04,3,1.38,0.3453,0.75,0.25,Mid Volume,Poor,26.3,High Risk
b2a6d334e2833acea353624840e25a0e,sao paulo,sp,26,25,1650.98,387.61,0,4.5,0.1901,0.0,1.0,High Volume,Excellent,95.0,Low Risk
d3674f271c91f824f82d24d92011f669,brasilia,df,20,20,1718.3,383.52,2,4.1,0.1825,0.1,0.9,High Volume,Good,86.0,Low Risk
768de2a4fc06aacecb9a586ccc30746a,brasilia,df,14,14,475.59999999999997,237.93,0,4.43,0.3335,0.0,1.0,High Volume,Excellent,94.3,Low Risk
a81466620e46a6970b22ef40379fdfc9,sao ludgero,sc,2,2,321.8,32.98,0,5.0,0.093,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
5c030029b5916fed0986310385ec9009,sao jose,sc,10,7,4164.4,915.5,0,4.9,0.1802,0.0,1.0,Mid Volume,Excellent,99.0,Low Risk
c0f783394e37cd9c9d7f5f81141450fa,piracicaba,sp,6,6,249.39999999999998,87.35,0,3.6,0.2594,0.0,1.0,Mid Volume,Good,86.0,Low Risk
c353f8fc0ce8344999f17d578eb69a5e,porto alegre,rs,2,2,175.98,36.59,0,5.0,0.1721,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
8444e55c1f13cd5c179851e5ca5ebd00,congonhal,mg,109,99,22873.21,2078.06,11,3.07,0.0833,0.1111,0.8889,High Volume,Fair,75.14,Moderate Risk
28a26ebce31d5918b181ede016fd693b,belo horizonte,mg,1,1,29.9,17.14,0,5.0,0.3644,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
41ab63a91b8b264e8c8780368bf1dd5b,belo horizonte,mg,13,12,2571.95,302.27,0,4.23,0.1052,0.0,1.0,Mid Volume,Excellent,92.3,Low Risk
8759e7aedd644f487315e5860962f162,santo andre,sp,3,3,627.0,166.34,1,3.67,0.2097,0.3333,0.6667,Low Volume,Good,70.04,Moderate Risk
e546117ed9cafbc40239c0c78635c584,sao paulo,sp,2,2,456.0,28.34,0,4.5,0.0585,0.0,1.0,Low Volume,Excellent,95.0,Low Risk
d71d863e5ef30d94e440c11be17dcd8f,osasco,sp,36,29,11900.9,754.75,3,3.24,0.0596,0.1034,0.8966,High Volume,Fair,77.23,Moderate Risk
0c7533c71df861ec58ad7ff999ed0e8d,valinhos,sp,73,61,2989.2999999999997,874.21,3,4.08,0.2263,0.0492,0.9508,High Volume,Good,88.34,Low Risk
ef990a83bbea832f36ebe81376335aa8,joinville,sc,44,43,4642.59,914.65,9,3.66,0.1646,0.2093,0.7907,High Volume,Good,76.13,Moderate Risk
41e0fa5761c886a630994a55c12087e7,guaruja,sp,5,5,423.6,68.31,0,5.0,0.1389,0.0,1.0,Mid Volume,Excellent,100.0,Low Risk
0747d5bb69f0586cc869d8af4c50f93e,saquarema,rj,15,14,346.59999999999997,208.89,1,3.47,0.376,0.0714,0.9286,High Volume,Fair,81.13,Low Risk
7d294cf9a6a69dc6a0c3e540fff0e039,barra velha,sc,5,5,257.25,194.13,0,4.4,0.4301,0.0,1.0,Mid Volume,Excellent,94.0,Low Risk
c89cf7c468a48af70aada384e722f9e2,petropolis,rj,14,14,745.0,226.01,1,4.0,0.2328,0.0714,0.9286,High Volume,Good,86.43,Low Risk
b7ba853e9551f4558440881fd3e5c815,santo antonio da patrulha,rs,2,2,376.8,37.989999999999995,0,1.0,0.0916,0.0,1.0,Low Volume,Poor,60.0,High Risk
13c2ed7698b3ca92dad49e849219da59,ponta grossa,pr,9,8,498.61,154.68,0,4.44,0.2368,0.0,1.0,Mid Volume,Excellent,94.4,Low Risk
cbbd5ae8f53de5f5097cd8217b529e24,santana de parnaiba,sp,2,2,351.8,70.44999999999999,0,2.5,0.1668,0.0,1.0,Low Volume,Poor,75.0,Moderate Risk
02ecc2a19303f05e59ce133fd923fff7,santo andre,sp,24,21,5264.19,478.21,0,4.54,0.0833,0.0,1.0,High Volume,Excellent,95.4,Low Risk
c013e57c075a06e5b5c48ee03c525719,sao carlos,sp,45,42,1971.55,857.11,3,4.16,0.303,0.0714,0.9286,High Volume,Good,88.03,Low Risk
55f7a3319d80f7fdf078b8f03e6725fe,osasco,sp,22,22,3013.78,406.67,1,3.77,0.1189,0.0455,0.9545,High Volume,Good,85.43,Low Risk
2d50d6282f8aa2257819a77bfaa0efe0,ibitinga,sp,45,44,3353.48,798.04,4,3.64,0.1922,0.0909,0.9091,High Volume,Good,81.85,Low Risk
b7e1750c1157341d2abd0251e07c186b,sao paulo,sp,4,3,159.6,60.96,0,4.5,0.2764,0.0,1.0,Low Volume,Excellent,95.0,Low Risk
b90e891671cffd9557f33a97dc523645,sao jose dos pinhais,pr,39,34,4449.0,632.31,0,4.13,0.1244,0.0,1.0,High Volume,Good,91.3,Low Risk
a416b6a846a11724393025641d4edd5e,sao paulo,sp,181,162,25670.72,2999.8,19,4.16,0.1046,0.1173,0.8827,High Volume,Good,85.74,Low Risk
7e93a43ef30c4f03f38b393420bc753a,barueri,sp,340,336,176431.87,6322.18,15,4.21,0.0346,0.0446,0.9554,High Volume,Excellent,89.87,Low Risk
5206cc4bc2297c833e6061c49bf9c43f,osasco,sp,1,1,35.0,10.96,0,1.0,0.2385,0.0,1.0,Low Volume,Poor,60.0,High Risk
f410c8873029fcc3809b9df6d0b28914,caxias do sul,sp,2,2,289.8,37.3,0,5.0,0.114,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
ef506c96320abeedfb894c34db06f478,sao paulo,sp,340,324,9771.43,5197.0,27,3.9,0.3472,0.0833,0.9167,High Volume,Good,84.84,Low Risk
a13aaf2d2886ab9fb30fb9a920160b8f,joinville,sc,4,4,1011.52,74.31,1,4.5,0.0684,0.25,0.75,Mid Volume,Excellent,82.5,Low Risk
7299e27ed73d2ad986de7f7c77d919fa,araguari,mg,361,338,34725.43,6855.65,15,4.42,0.1649,0.0444,0.9556,High Volume,Excellent,91.98,Low Risk
8a9260f2b0340411d6d2a56bcf4f7378,contagem,mg,9,8,1256.0,140.94,0,4.78,0.1009,0.0,1.0,Mid Volume,Excellent,97.8,Low Risk
dedcab67899479e4ea5dcc4eba47f587,jaragua do sul,sc,2,2,84.0,21.64,0,4.5,0.2048,0.0,1.0,Low Volume,Excellent,95.0,Low Risk
b2479f944e1b90cf8a5de1bbfde284d6,ibitinga,sp,131,103,4752.51,2239.71,15,3.32,0.3203,0.1456,0.8544,High Volume,Fair,75.92,Moderate Risk
7722b1df1b0e383e000397b2c11e3e19,sao bernardo do campo,sp,145,134,7094.09,2071.21,4,4.22,0.226,0.0299,0.9701,High Volume,Excellent,90.7,Low Risk
731ef20c231d9a7103a425e83fd91271,lages  sc,sc,3,2,1692.0,505.6,0,3.67,0.2301,0.0,1.0,Low Volume,Good,86.7,Low Risk
78813699ffac347fe27dba345a5f1551,bento goncalves,rs,1,1,152.42,48.12,0,5.0,0.24,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
3296662b1331dea51e744505065ae889,catanduva,sp,1,1,517.8,27.71,0,5.0,0.0508,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
411f3b52d857390502ee4e4d5ceabc2d,ribeirao pires,sp,30,21,1804.01,378.71,2,4.26,0.1735,0.0952,0.9048,High Volume,Excellent,87.84,Low Risk
bba3293d6f5d5af2f415e004e8b93ae3,sao paulo,sp,17,17,11702.1,326.69,1,4.29,0.0272,0.0588,0.9412,High Volume,Excellent,89.96,Low Risk
4e7c18b98d84e05cbae3ff0ff03846c2,jaboticabal,sp,89,82,9177.9,2875.98,3,4.14,0.2386,0.0366,0.9634,High Volume,Good,89.57,Low Risk
b56906f7fd1696e043f1bcce164c487b,echapora,sp,42,40,2148.49,846.93,2,3.95,0.2827,0.05,0.95,High Volume,Good,87.0,Low Risk
d650b663c3b5f6fb392b6326366efa9a,cotia,sp,60,60,19242.9,910.14,3,4.2,0.0452,0.05,0.95,High Volume,Good,89.5,Low Risk
669ae81880e08f269a64487cfb287169,rio do sul,sc,186,162,13248.87,3372.59,7,4.14,0.2029,0.0432,0.9568,High Volume,Good,89.24,Low Risk
c2d70ce2c5d0a2eb75e78668236e6dc8,sao paulo,sp,15,13,2470.9,229.01999999999998,0,4.67,0.0848,0.0,1.0,Mid Volume,Excellent,96.7,Low Risk
674207551483fec113276b67b0d871ff,sorocaba,sp,1,1,119.9,13.94,0,5.0,0.1042,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
abe42c5d03695b4257b5c6cbf4e6784e,rio de janeiro,rj,50,50,17159.0,999.23,8,3.92,0.055,0.16,0.84,High Volume,Good,81.2,Low Risk
1996942dc085d7773ba77a529b163cd0,pradopolis,sp,10,10,2943.51,239.92,0,3.9,0.0754,0.0,1.0,Mid Volume,Good,89.0,Low Risk
79b93a308a97792cf53ac75f46da00b5,rio de janeiro,rj,1,1,99.9,16.14,0,5.0,0.1391,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
7cf4ea70955b00d6b3c22542598e2715,sao paulo,sp,1,1,189.9,14.91,0,5.0,0.0728,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
63ffcb71394dd8ea3872ed9ffda17c74,itaborai,rj,17,17,399.0,264.72,1,3.18,0.3988,0.0588,0.9412,High Volume,Fair,78.86,Moderate Risk
83353a83fd769dfafa4f21a72b15e3e5,sao paulo,sp,5,5,579.5,94.83,1,3.8,0.1406,0.2,0.8,Mid Volume,Good,78.0,Moderate Risk
cda598c48d7c614bc1cad7d8ff6f0010,mirassol,sp,18,17,1118.6000000000001,301.6,0,3.94,0.2124,0.0,1.0,High Volume,Good,89.4,Low Risk
d4910f1cdcfdabd48d6b316e395d4a23,santo andre,sp,12,11,1146.88,215.04,0,4.92,0.1579,0.0,1.0,Mid Volume,Excellent,99.2,Low Risk
709e16e2b25c7474d980076c6bfc4806,birigui,sp,80,60,5151.9,1226.96,2,4.53,0.1923,0.0333,0.9667,High Volume,Excellent,93.64,Low Risk
9dc79dd988ac42f4d56c340d7048420a,sao paulo,sp,4,4,749.6,94.33,0,4.75,0.1118,0.0,1.0,Mid Volume,Excellent,97.5,Low Risk
276677b5d08786d5dce7c2149dcce48b,belo horizonte,mg,47,33,3522.0,798.64,2,3.81,0.1848,0.0606,0.9394,High Volume,Good,85.07,Low Risk
9c4d31c7e46ab03a43fc06e3142afd4e,rio de janeiro,rj,2,2,1218.9,43.82000000000001,0,4.5,0.0347,0.0,1.0,Low Volume,Excellent,95.0,Low Risk
512d298ac2a96d1931b6bd30aa21f61d,rio de janeiro,rj,12,11,7401.94,321.93,0,4.25,0.0417,0.0,1.0,Mid Volume,Excellent,92.5,Low Risk
422be4cc81a457fdb46f47edeb968ae5,ibitinga,sp,1,1,239.9,77.47,0,5.0,0.2441,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
99cd94252748d2bdde08e17858233602,sao paulo,sp,2,2,159.8,21.520000000000003,0,4.5,0.1187,0.0,1.0,Low Volume,Excellent,95.0,Low Risk
698624c6632eeba1774924dbea24c700,sao paulo,sp,1,1,19.9,15.23,0,5.0,0.4335,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
8bb48dc19fccaa8613b6229bf7f452a2,assis,sp,95,82,4190.72,1857.3999999999999,2,4.34,0.3071,0.0244,0.9756,High Volume,Excellent,92.18,Low Risk
ad87df7699e83b8a91822a4a0b765c3a,jaguariuna,sp,7,6,349.9,88.72,0,3.71,0.2023,0.0,1.0,Mid Volume,Good,87.1,Low Risk
d6b664fa0667064c6d76394e7848d790,araraquara,sp,6,6,6080.0,324.34,0,4.83,0.0506,0.0,1.0,Mid Volume,Excellent,98.3,Low Risk
98f52e1020fe788c10c0418de4393fec,macae,rj,1,1,21.6,15.1,0,4.0,0.4114,0.0,1.0,Low Volume,Good,90.0,Low Risk
62760d278921b5f352461620d68a9cee,salto,sp,3,3,397.0,53.1,1,3.67,0.118,0.3333,0.6667,Low Volume,Good,70.04,Moderate Risk
eb72802c83dc7547529c9546d1a9b8ef,rio claro,sp,8,8,1063.92,117.71,0,4.62,0.0996,0.0,1.0,Mid Volume,Excellent,96.2,Low Risk
3f9be91358837bff69df67edfa3e42e8,londrina,pr,7,7,569.7,132.36,0,4.43,0.1885,0.0,1.0,Mid Volume,Excellent,94.3,Low Risk
1d4587203296c8f4ad134dc286fa6db0,sao paulo,sp,43,42,2323.3,704.24,1,4.3,0.2326,0.0238,0.9762,High Volume,Excellent,91.81,Low Risk
791cfcfe22fe4a771ece27f90017da92,ribeirao preto,sp,2,2,596.26,57.49,1,1.5,0.0879,0.5,0.5,Low Volume,Poor,40.0,High Risk
392f7f2c797e4dc077e4311bde2ab8ce,rio de janeiro,rn,2,2,52.0,36.56,0,5.0,0.4128,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
0c8380b62e38e8a1e6adbeba7eb9688c,tres coracoes,mg,220,182,17348.79,4107.04,10,4.03,0.1914,0.0549,0.9451,High Volume,Good,87.56,Low Risk
37be5a7c751166fbc5f8ccba4119e043,sao paulo,sp,281,272,55350.55,6083.33,7,4.32,0.099,0.0257,0.9743,High Volume,Excellent,91.92,Low Risk
87d73636a3acf123e842bb890a4db036,nhandeara,sp,1,1,269.9,43.71,0,5.0,0.1394,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
3d3ccf2b2f8134b10dce9dd446f0e075,ibitinga,sp,3,3,608.6,141.93,1,3.33,0.1891,0.3333,0.6667,Low Volume,Fair,66.64,Moderate Risk
e24d3429d294b2eb200b064ebb035879,sao paulo,sp,22,19,1878.58,372.12,1,4.14,0.1653,0.0526,0.9474,High Volume,Good,88.77,Low Risk
44073f8b7e41514de3b7815dd0237f4f,brasilia,df,153,144,18729.64,3172.29,7,3.76,0.1448,0.0486,0.9514,High Volume,Good,85.17,Low Risk
05ca864204d09595ae591b93ea9cf93d,barueri,sp,1,1,179.9,8.52,0,5.0,0.0452,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
9d39404483343dd55c7ae254494d8388,sao paulo,sp,10,10,293.2,141.07999999999998,1,3.5,0.3249,0.1,0.9,Mid Volume,Fair,80.0,Moderate Risk
f9eda05b67bef472deaddbba84aca289,orleans,sc,1,1,185.0,51.79,0,1.0,0.2187,0.0,1.0,Low Volume,Poor,60.0,High Risk
75745ef7bc7d4f3ea3380f6f5303f514,brasilia,df,3,3,228.4,48.92,0,5.0,0.1764,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
0692610d8abe24f287e9fae90ea0bbee,sao paulo,sp,4,4,173.99,31.73,1,4.0,0.1542,0.25,0.75,Mid Volume,Good,77.5,Moderate Risk
7b07b3c7487f0ea825fc6df75abd658b,sao paulo,sp,98,93,9731.85,1342.79,4,4.34,0.1212,0.043,0.957,High Volume,Excellent,91.25,Low Risk
99002261c568a84cce14d43fcffb43ea,cuiaba,mt,36,36,4088.0,1100.33,2,3.72,0.2121,0.0556,0.9444,High Volume,Good,84.42,Low Risk
e5899683388855d3dabe8913bbe365de,sao carlos,sp,3,3,452.88,80.98,0,4.0,0.1517,0.0,1.0,Low Volume,Good,90.0,Low Risk
784ba75dd9d20200c4caed3d7a77141a,sao paulo,sp,24,21,8295.13,629.8199999999999,2,3.6,0.0706,0.0952,0.9048,High Volume,Good,81.24,Low Risk
099095b050cfe8eb1ddff5317587e96e,sao paulo,sp,20,17,5193.83,715.3199999999999,3,2.95,0.1211,0.1765,0.8235,High Volume,Fair,70.68,Moderate Risk
0ad80de75c811326389cfb1daba7d45e,rio de janeiro,rj,6,6,1449.3999999999999,115.32,0,5.0,0.0737,0.0,1.0,Mid Volume,Excellent,100.0,Low Risk
b9a03475e6447e631b6799ec8274800f,formosa do oeste,pr,11,10,1349.1,294.98,0,4.27,0.1794,0.0,1.0,Mid Volume,Excellent,92.7,Low Risk
ba6b4a237f92479743cf0ca06b67a9ac,rio de janeiro,rj,8,8,801.89,111.82,1,4.25,0.1224,0.125,0.875,Mid Volume,Excellent,86.25,Low Risk
ea00f977a203ff88adf7057cb7806998,santos,sp,19,19,389.71999999999997,183.68,1,4.11,0.3203,0.0526,0.9474,High Volume,Good,88.47,Low Risk
82e0a475a88cc9595229d8029273f045,sao paulo,sp,80,42,10930.02,1485.9,5,3.35,0.1197,0.119,0.881,High Volume,Fair,77.55,Moderate Risk
ad75519a07f039025e83795a4418470f,santa terezinha de goias,go,9,3,302.1,115.82000000000001,0,3.22,0.2771,0.0,1.0,Low Volume,Fair,82.2,Low Risk
34aefe746cd81b7f3b23253ea28bef39,curitiba,pr,1,1,8.0,14.52,0,1.0,0.6448,0.0,1.0,Low Volume,Poor,60.0,High Risk
ed4acab38528488b65a9a9c603ff024a,sao paulo,sp,40,32,12759.45,610.31,0,3.72,0.0456,0.0,1.0,High Volume,Good,87.2,Low Risk
f0837c8d71434931d9e38e7b79234797,arvorezinha,rs,23,22,3446.9,602.46,1,4.61,0.1488,0.0455,0.9545,High Volume,Excellent,93.82,Low Risk
fce62094ffe6a4009188ec44e681dfdd,sao paulo,sp,11,4,2969.7,482.93,5,3.18,0.1399,1.25,-0.25,Mid Volume,Fair,19.3,High Risk
ebef8d8c92b4fd3226e5d407bbff21ac,ribeirao preto,sp,3,3,253.70000000000002,48.36,1,2.67,0.1601,0.3333,0.6667,Low Volume,Fair,60.04,Moderate Risk
d73cbd89533ce8b041a9190241453ac8,guiricema,mg,4,4,368.6,65.02,0,3.5,0.1499,0.0,1.0,Mid Volume,Fair,85.0,Low Risk
75a4764c108403a7a0575140cb22287c,caxias do sul,rs,9,5,716.9,210.15,0,4.78,0.2267,0.0,1.0,Mid Volume,Excellent,97.8,Low Risk
70c0fda4c313d87115644d39e62eec60,caruaru,pe,1,1,25.99,37.09,0,5.0,0.588,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
ffcfefa19b08742c5d315f2791395ee5,curitiba,pr,1,1,69.9,9.62,0,1.0,0.121,0.0,1.0,Low Volume,Poor,60.0,High Risk
26e13b6ff5b641b329e5524241ee2c93,franca,sp,4,4,119.69999999999999,69.97999999999999,0,4.0,0.3689,0.0,1.0,Mid Volume,Good,90.0,Low Risk
0ade5cc4a305ed7093a23f68ca47519c,curitiba,pr,2,2,158.88,42.39,0,5.0,0.2106,0.0,1.0,Low Volume,Excellent,100.0,Low Risk
fc59392d66ef99377e50356ee4f3b4e1,salvador,ba,5,5,519.99,86.97,0,3.6,0.1433,0.0,1.0,Mid Volume,Good,86.0,Low Risk
b18dc380845b24038cfc48006478f099,diadema,sp,54,44,8353.3,895.63,5,3.92,0.0968,0.1136,0.8864,High Volume,Good,83.52,Low Risk
f22a247b79dd22ecd91dc8e3b2a1b07c,itaquaquecetuba,sp,8,8,439.94,134.9,2,4.0,0.2347,0.25,0.75,Mid Volume,Good,77.5,Moderate Risk
889009a0ed0bb52c87819941192931b8,lencois paulista,sp,1,1,89.9,33.08,0,4.0,0.269,0.0,1.0,Low Volume,Good,90.0,Low Risk
ffc470761de7d0232558ba5e786e57b7,guarulhos,sp,31,28,1649.01,438.12,2,4.3,0.2099,0.0714,0.9286,High Volume,Excellent,89.43,Low Risk
4c498c7345e89aebad651544829beca0,carapicuiba,sp,48,48,4819.76,570.0,5,4.29,0.1058,0.1042,0.8958,High Volume,Excellent,87.69,Low Risk
01bcc9d254a0143f0ce9791b960b2a47,uruacu,go,11,11,1521.21,277.65999999999997,0,4.4,0.1544,0.0,1.0,Mid Volume,Excellent,94.0,Low Risk
f021c962aaba8ef6eb527a9c2c8394d1,itajai,sc,5,5,4398.5,135.37,0,4.2,0.0299,0.0,1.0,Mid Volume,Good,92.0,Low Risk
024b564ae893ce8e9bfa02c10a401ece,sao paulo,sp,8,2,706.4000000000001,212.0,0,4.75,0.2308,0.0,1.0,Low Volume,Excellent,97.5,Low Risk
a513150f33f99a06569e9cd5c4bb889b,sao paulo,sp,2,2,677.0,34.25,0,4.5,0.0482,0.0,1.0,Low Volume,Excellent,95.0,Low Risk
c1dde11f12d05c478f5de2d7319ad3b2,sao paulo,sp,1,1,12.5,7.39,0,1.0,0.3715,0.0,1.0,Low Volume,Poor,60.0,High Risk
02f5837340d7eb4f653d676c7256523a,curitiba,pr,30,30,3883.05,580.83,1,4.83,0.1301,0.0333,0.9667,High Volume,Excellent,96.64,Low Risk
7b98de631987e26dd6d803490c43a13c,loanda,pr,8,8,634.2,144.43,0,4.62,0.1855,0.0,1.0,Mid Volume,Excellent,96.2,Low Risk
f12ff17ad8bbf01ec5c33b17e506649b,sao paulo,sp,29,29,6241.0,651.73,3,3.83,0.0946,0.1034,0.8966,High Volume,Good,83.13,Low Risk
a64e44665225d19dfc0277eeeaaccc57,sao paulo,sp,6,6,335.0,91.76,0,5.0,0.215,0.0,1.0,Mid Volume,Excellent,100.0,Low Risk
